Animal_Name,Animal_Species,Latitude,Longitude
Emperor Goose,Anser canagicus,55.986,-161.049
Emperor Goose,Anser canagicus,55.995,-161.029
Emperor Goose,Anser canagicus,55.992,-161.041
Emperor Goose,Anser canagicus,55.989,-161.012
Emperor Goose,Anser canagicus,55.978,-161.046
Emperor Goose,Anser canagicus,55.963,-161.083
Emperor Goose,Anser canagicus,55.961,-161.077
Emperor Goose,Anser canagicus,55.908,-163.731
Emperor Goose,Anser canagicus,55.908,-161.022
Emperor Goose,Anser canagicus,56.039,-161.133
Emperor Goose,Anser canagicus,55.994,-161.092
Emperor Goose,Anser canagicus,56.002,-161.102
Emperor Goose,Anser canagicus,55.979,-161.176
Emperor Goose,Anser canagicus,55.968,-161.141
Emperor Goose,Anser canagicus,55.997,-161.137
Emperor Goose,Anser canagicus,55.998,-161.138
Emperor Goose,Anser canagicus,55.997,-161.139
Emperor Goose,Anser canagicus,55.823,-161.121
Emperor Goose,Anser canagicus,55.992,-161.106
Emperor Goose,Anser canagicus,56,-161.152
Emperor Goose,Anser canagicus,56.001,-161.139
Emperor Goose,Anser canagicus,60.147,-163.814
Emperor Goose,Anser canagicus,60.261,-164.247
Emperor Goose,Anser canagicus,60.35,-164.632
Emperor Goose,Anser canagicus,61.151,-165.304
Emperor Goose,Anser canagicus,68.133,-123.894
Emperor Goose,Anser canagicus,61.029,-165.387
Emperor Goose,Anser canagicus,61.181,-165.148
Emperor Goose,Anser canagicus,61.181,-165.165
Emperor Goose,Anser canagicus,61.169,-165.18
Emperor Goose,Anser canagicus,61.179,-165.159
Emperor Goose,Anser canagicus,61.18,-165.169
Emperor Goose,Anser canagicus,61.178,-165.16
Emperor Goose,Anser canagicus,61.179,-165.163
Emperor Goose,Anser canagicus,61.177,-165.169
Emperor Goose,Anser canagicus,61.174,-165.162
Emperor Goose,Anser canagicus,61.182,-165.156
Emperor Goose,Anser canagicus,61.179,-165.157
Emperor Goose,Anser canagicus,61.17,-165.175
Emperor Goose,Anser canagicus,61.186,-165.216
Emperor Goose,Anser canagicus,61.17,-165.164
Emperor Goose,Anser canagicus,61.172,-165.171
Emperor Goose,Anser canagicus,61.178,-165.168
Emperor Goose,Anser canagicus,61.168,-165.153
Emperor Goose,Anser canagicus,61.172,-165.195
Emperor Goose,Anser canagicus,61.176,-165.177
Emperor Goose,Anser canagicus,61.184,-165.169
Emperor Goose,Anser canagicus,61.177,-165.164
Emperor Goose,Anser canagicus,61.178,-165.148
Emperor Goose,Anser canagicus,61.176,-165.14
Emperor Goose,Anser canagicus,61.234,-165.367
Emperor Goose,Anser canagicus,61.179,-165.163
Emperor Goose,Anser canagicus,61.187,-165.17
Emperor Goose,Anser canagicus,61.192,-165.171
Emperor Goose,Anser canagicus,61.186,-165.152
Emperor Goose,Anser canagicus,61.175,-165.17
Emperor Goose,Anser canagicus,61.179,-165.163
Emperor Goose,Anser canagicus,61.157,-165.131
Emperor Goose,Anser canagicus,61.177,-165.153
Emperor Goose,Anser canagicus,61.188,-165.235
Emperor Goose,Anser canagicus,61.175,-165.171
Emperor Goose,Anser canagicus,61.179,-165.158
Emperor Goose,Anser canagicus,61.183,-165.167
Emperor Goose,Anser canagicus,61.36,-163.8
Emperor Goose,Anser canagicus,61.169,-165.225
Emperor Goose,Anser canagicus,61.179,-165.163
Emperor Goose,Anser canagicus,61.168,-165.229
Emperor Goose,Anser canagicus,61.181,-165.173
Emperor Goose,Anser canagicus,61.173,-165.107
Emperor Goose,Anser canagicus,61.179,-165.158
Emperor Goose,Anser canagicus,61.166,-165.14
Emperor Goose,Anser canagicus,61.177,-165.169
Emperor Goose,Anser canagicus,61.179,-165.166
Emperor Goose,Anser canagicus,61.176,-165.146
Emperor Goose,Anser canagicus,61.178,-165.149
Emperor Goose,Anser canagicus,61.18,-165.17
Emperor Goose,Anser canagicus,61.179,-165.153
Emperor Goose,Anser canagicus,61.176,-165.143
Emperor Goose,Anser canagicus,61.177,-165.163
Emperor Goose,Anser canagicus,61.175,-165.168
Emperor Goose,Anser canagicus,61.635,-165.985
Emperor Goose,Anser canagicus,61.632,-165.983
Emperor Goose,Anser canagicus,61.628,-165.993
Emperor Goose,Anser canagicus,61.628,-165.986
Emperor Goose,Anser canagicus,61.629,-165.994
Emperor Goose,Anser canagicus,66.994,-173.228
Emperor Goose,Anser canagicus,66.993,-173.394
Emperor Goose,Anser canagicus,67.18,-174.698
Emperor Goose,Anser canagicus,67.202,-174.685
Emperor Goose,Anser canagicus,67.195,-174.691
Emperor Goose,Anser canagicus,67.197,-174.686
Emperor Goose,Anser canagicus,67.197,-174.693
Emperor Goose,Anser canagicus,67.193,-174.677
Emperor Goose,Anser canagicus,67.199,-174.691
Emperor Goose,Anser canagicus,67.198,-174.694
Emperor Goose,Anser canagicus,66.845,-173.128
Emperor Goose,Anser canagicus,66.788,-173.588
Emperor Goose,Anser canagicus,67.005,-173.17
Emperor Goose,Anser canagicus,66.995,-173.202
Emperor Goose,Anser canagicus,66.995,-173.219
Emperor Goose,Anser canagicus,67.013,-173.235
Emperor Goose,Anser canagicus,66.998,-173.255
Emperor Goose,Anser canagicus,67.023,-173.557
Emperor Goose,Anser canagicus,66.889,-173.263
Emperor Goose,Anser canagicus,66.911,-173.315
Emperor Goose,Anser canagicus,66.909,-173.312
Emperor Goose,Anser canagicus,66.947,-173.288
Emperor Goose,Anser canagicus,66.955,-173.325
Emperor Goose,Anser canagicus,66.955,-173.289
Emperor Goose,Anser canagicus,66.973,-173.311
Emperor Goose,Anser canagicus,66.92,-173.299
Emperor Goose,Anser canagicus,66.838,-173.31
Emperor Goose,Anser canagicus,66.834,-173.318
Emperor Goose,Anser canagicus,66.848,-173.316
Emperor Goose,Anser canagicus,66.852,-173.338
Emperor Goose,Anser canagicus,66.868,-173.354
Emperor Goose,Anser canagicus,66.856,-173.297
Emperor Goose,Anser canagicus,66.839,-173.316
Emperor Goose,Anser canagicus,66.817,-173.342
Emperor Goose,Anser canagicus,66.848,-173.323
Emperor Goose,Anser canagicus,66.839,-173.302
Emperor Goose,Anser canagicus,66.688,-172.597
Emperor Goose,Anser canagicus,66.954,-173.464
Emperor Goose,Anser canagicus,66.946,-173.347
Emperor Goose,Anser canagicus,66.952,-173.382
Emperor Goose,Anser canagicus,66.916,-173.372
Emperor Goose,Anser canagicus,66.905,-173.327
Emperor Goose,Anser canagicus,66.931,-173.444
Emperor Goose,Anser canagicus,66.959,-173.362
Emperor Goose,Anser canagicus,66.958,-173.366
Emperor Goose,Anser canagicus,66.95,-173.333
Emperor Goose,Anser canagicus,66.937,-173.319
Emperor Goose,Anser canagicus,67.046,-173.236
Emperor Goose,Anser canagicus,67.059,-173.203
Emperor Goose,Anser canagicus,67.056,-173.225
Emperor Goose,Anser canagicus,67.056,-173.228
Emperor Goose,Anser canagicus,67.052,-173.215
Emperor Goose,Anser canagicus,67.057,-173.224
Emperor Goose,Anser canagicus,67.049,-173.245
Emperor Goose,Anser canagicus,67.045,-173.2
Emperor Goose,Anser canagicus,67.054,-173.22
Emperor Goose,Anser canagicus,67.037,-173.219
Emperor Goose,Anser canagicus,67.05,-173.191
Emperor Goose,Anser canagicus,67.05,-173.215
Emperor Goose,Anser canagicus,67.055,-173.209
Emperor Goose,Anser canagicus,67.04,-173.202
Emperor Goose,Anser canagicus,67.051,-173.183
Emperor Goose,Anser canagicus,67.049,-173.235
Emperor Goose,Anser canagicus,67.041,-173.197
Emperor Goose,Anser canagicus,67.051,-173.227
Emperor Goose,Anser canagicus,67.049,-173.205
Emperor Goose,Anser canagicus,67.05,-173.208
Emperor Goose,Anser canagicus,67.053,-173.209
Emperor Goose,Anser canagicus,67.059,-173.156
Emperor Goose,Anser canagicus,67.054,-173.201
Emperor Goose,Anser canagicus,67.052,-173.213
Emperor Goose,Anser canagicus,67.07,-173.206
Emperor Goose,Anser canagicus,67.02,-173.282
Emperor Goose,Anser canagicus,67.057,-173.321
Emperor Goose,Anser canagicus,67.044,-173.277
Emperor Goose,Anser canagicus,67.046,-173.255
Emperor Goose,Anser canagicus,67.024,-173.212
Emperor Goose,Anser canagicus,67.05,-173.295
Emperor Goose,Anser canagicus,67.023,-173.092
Emperor Goose,Anser canagicus,67.047,-173.206
Emperor Goose,Anser canagicus,65.864,-165.842
Emperor Goose,Anser canagicus,67.014,-173.122
Emperor Goose,Anser canagicus,67.037,-173.198
Emperor Goose,Anser canagicus,67.115,-173.402
Emperor Goose,Anser canagicus,67.027,-172.998
Emperor Goose,Anser canagicus,66.928,-172.427
Emperor Goose,Anser canagicus,66.918,-172.425
Emperor Goose,Anser canagicus,57.103,-167.042
Emperor Goose,Anser canagicus,61.459,-165.345
Emperor Goose,Anser canagicus,61.163,-168.001
Emperor Goose,Anser canagicus,61.402,-165.421
Emperor Goose,Anser canagicus,61.39,-165.627
Emperor Goose,Anser canagicus,61.609,-164.982
Emperor Goose,Anser canagicus,61.442,-165.024
Emperor Goose,Anser canagicus,61.448,-165.295
Emperor Goose,Anser canagicus,61.396,-165.432
Emperor Goose,Anser canagicus,61.404,-165.484
Emperor Goose,Anser canagicus,61.393,-165.445
Emperor Goose,Anser canagicus,61.388,-165.348
Emperor Goose,Anser canagicus,61.425,-165.455
Emperor Goose,Anser canagicus,61.4,-165.492
Emperor Goose,Anser canagicus,61.411,-165.445
Emperor Goose,Anser canagicus,61.404,-165.48
